year,month,day,time,day_of_week
2023,Nov,28,16:44:02,Tue
2023,Nov,28,16:45:03,Tue
2023,Nov,28,16:40:10,Tue
2023,Nov,28,16:41:04,Tue
2023,Nov,28,16:46:08,Tue
2023,Nov,28,16:42:04,Tue
2023,Nov,28,16:47:05,Tue
2023,Nov,28,16:43:02,Tue
2023,Nov,28,16:48:03,Tue
2023,Nov,28,16:49:04,Tue
2023,Nov,28,16:50:06,Tue
2023,Nov,28,16:51:07,Tue
2023,Nov,28,16:52:07,Tue
2023,Nov,28,16:53:09,Tue
2023,Nov,28,16:54:05,Tue
2023,Nov,28,16:55:08,Tue
2023,Nov,28,16:56:09,Tue
2023,Nov,28,16:57:07,Tue
2023,Nov,28,16:58:06,Tue
2023,Nov,28,16:59:06,Tue
2023,Nov,28,17:00:06,Tue
2023,Nov,28,17:01:06,Tue
2023,Nov,28,17:02:06,Tue
2023,Nov,28,17:03:06,Tue
2023,Nov,28,17:04:06,Tue
2023,Nov,28,17:05:07,Tue
2023,Nov,28,17:06:03,Tue
2023,Nov,28,17:07:04,Tue
2023,Nov,28,17:08:05,Tue
2023,Nov,28,17:09:04,Tue
2023,Nov,28,17:10:02,Tue
2023,Nov,28,17:11:05,Tue
2023,Nov,28,17:12:02,Tue
2023,Nov,28,17:13:05,Tue
2023,Nov,28,17:14:05,Tue
2023,Nov,28,17:15:06,Tue
2023,Nov,28,17:16:05,Tue
2023,Nov,28,17:17:05,Tue
2023,Nov,28,17:18:02,Tue
2023,Nov,28,17:19:05,Tue
2023,Nov,28,17:20:03,Tue
2023,Nov,28,17:21:03,Tue
2023,Nov,28,17:23:18,Tue
2023,Nov,28,17:28:26,Tue
2023,Nov,28,17:28:32,Tue
2023,Nov,28,17:29:03,Tue
2023,Nov,28,17:30:04,Tue
2023,Nov,28,17:31:03,Tue
2023,Nov,28,17:32:07,Tue
2023,Nov,28,17:33:05,Tue
2023,Nov,28,17:34:08,Tue
2023,Nov,28,17:35:06,Tue
2023,Nov,28,17:36:08,Tue
2023,Nov,28,17:37:05,Tue
2023,Nov,28,17:38:08,Tue
2023,Nov,28,17:39:05,Tue
2023,Nov,28,17:40:05,Tue
2023,Nov,28,17:41:05,Tue
2023,Nov,28,17:42:03,Tue
2023,Nov,28,17:43:04,Tue
2023,Nov,28,17:44:05,Tue
2023,Nov,28,17:45:07,Tue
2023,Nov,28,17:46:10,Tue
2023,Nov,28,17:47:07,Tue
2023,Nov,28,17:48:04,Tue
2023,Nov,28,17:49:05,Tue
2023,Nov,28,17:50:04,Tue
2023,Nov,28,17:51:03,Tue
2023,Nov,28,17:52:03,Tue
2023,Nov,28,17:53:05,Tue
2023,Nov,28,17:54:06,Tue
2023,Nov,28,17:55:08,Tue
2023,Nov,28,17:56:05,Tue
2023,Nov,28,17:57:07,Tue
2023,Nov,28,17:58:04,Tue
2023,Nov,28,17:59:05,Tue
2023,Nov,28,18:00:03,Tue
2023,Nov,28,18:01:02,Tue
2023,Nov,28,18:02:05,Tue
2023,Nov,28,18:03:06,Tue
2023,Nov,28,18:04:04,Tue
2023,Nov,28,18:05:07,Tue
2023,Nov,28,18:06:05,Tue
2023,Nov,28,18:07:07,Tue
2023,Nov,28,18:08:07,Tue
2023,Nov,28,18:09:06,Tue
2023,Nov,28,18:10:05,Tue
2023,Nov,28,18:11:05,Tue
2023,Nov,28,18:12:08,Tue
2023,Nov,28,18:13:06,Tue
2023,Nov,28,18:14:37,Tue
2023,Nov,28,18:15:06,Tue
2023,Nov,28,18:16:04,Tue
2023,Nov,28,18:53:33,Tue
2023,Nov,28,18:54:02,Tue
2023,Nov,28,18:55:02,Tue
2023,Nov,28,18:56:02,Tue
2023,Nov,28,18:55:52,Tue
2023,Nov,28,18:57:02,Tue
2023,Nov,28,18:58:02,Tue
2023,Nov,28,18:59:03,Tue
2023,Nov,28,19:00:02,Tue
2023,Nov,28,19:01:01,Tue
2023,Nov,28,19:02:02,Tue
2023,Nov,28,19:03:02,Tue
2023,Nov,28,19:04:03,Tue
2023,Nov,28,19:05:02,Tue
2023,Nov,28,19:06:03,Tue
2023,Nov,28,19:07:02,Tue
2023,Nov,28,19:08:03,Tue
2023,Nov,28,19:09:02,Tue
2023,Nov,28,19:10:02,Tue
2023,Nov,28,19:11:02,Tue
2023,Nov,28,19:12:02,Tue
2023,Nov,28,19:13:03,Tue
2023,Nov,28,19:14:02,Tue
